cost_id,project_id,contractor_id,material_id,cost_date,cost_category,planned_cost_myr,actual_cost_myr,quantity
CST000119,PRJ001,CON009,,2025-04-29,Site Overhead,931432.15,984416.12,0.0
CST000120,PRJ001,CON010,,2025-04-30,Subcontract,694827.68,698957.99,0.0
CST000121,PRJ001,CON013,,2025-05-01,Site Overhead,680013.06,695469.51,0.0
CST000122,PRJ001,CON014,,2025-05-02,Subcontract,1038567.59,1122650.94,0.0
CST000123,PRJ001,CON006,,2025-05-03,Labour,817983.74,778588.7,0.0
CST000124,PRJ001,CON008,,2025-05-04,Subcontract,1035536.44,1201917.45,0.0
CST000125,PRJ001,CON008,MAT003,2025-05-05,Material,685713.41,625657.14,124.13
CST000126,PRJ001,CON008,,2025-05-06,Labour,632566.56,615233.5,0.0
CST000127,PRJ001,CON019,,2025-05-07,Subcontract,618521.2,657981.51,0.0
CST000128,PRJ001,CON017,MAT007,2025-05-08,Material,593847.98,520853.63,83.35
CST000129,PRJ001,CON011,,2025-05-09,Site Overhead,839182.95,864390.02,0.0
CST000130,PRJ001,CON004,,2025-05-10,Site Overhead,1072210.53,1219360.22,0.0
CST000131,PRJ001,CON011,,2025-05-11,Subcontract,947931.02,1039322.03,0.0
CST000132,PRJ001,CON006,,2025-05-12,Equipment,838309.64,1008635.13,0.0
CST000133,PRJ001,CON015,MAT012,2025-05-13,Material,1069566.31,1043864.52,39.42
CST000134,PRJ001,CON012,,2025-05-14,Labour,1089965.11,1313703.67,0.0
CST000135,PRJ001,CON002,,2025-05-15,Labour,1042377.52,1219479.54,0.0
CST000136,PRJ001,CON003,,2025-05-16,Labour,829071.33,962745.59,0.0
CST000137,PRJ001,CON003,MAT003,2025-05-17,Material,876479.94,766161.91,44.74
CST000138,PRJ001,CON015,,2025-05-18,Equipment,598924.61,683441.07,0.0
CST000139,PRJ001,CON015,,2025-05-19,Subcontract,682049.35,734519.86,0.0
CST000140,PRJ001,CON008,,2025-05-20,Equipment,906850.79,822594.88,0.0
CST000141,PRJ001,CON014,MAT002,2025-05-21,Material,1166672.09,1353552.75,82.13
CST000142,PRJ001,CON015,,2025-05-22,Site Overhead,1019153.49,910359.45,0.0
CST000143,PRJ001,CON011,,2025-05-23,Labour,1095288.53,1084174.95,0.0
CST000144,PRJ001,CON019,,2025-05-24,Labour,707838.81,805761.44,0.0
CST000145,PRJ001,CON015,,2025-05-25,Subcontract,1127515.5,1009904.51,0.0
CST000146,PRJ001,CON008,,2025-05-26,Equipment,1159913.33,1097330.68,0.0
CST000147,PRJ001,CON003,MAT004,2025-05-27,Material,663094.92,808971.62,120.83
CST000148,PRJ001,CON013,,2025-05-28,Labour,1013330.88,1154927.64,0.0
CST000149,PRJ001,CON006,,2025-05-29,Labour,957330.76,1040590.63,0.0
CST000150,PRJ001,CON010,,2025-05-30,Equipment,947377.03,874247.14,0.0
CST000151,PRJ001,CON019,,2025-05-31,Labour,937924.1,1117256.15,0.0
CST000152,PRJ001,CON011,,2025-06-01,Subcontract,688449.73,651202.51,0.0
CST000153,PRJ001,CON012,MAT008,2025-06-02,Material,911029.63,870755.21,118.29
CST000154,PRJ001,CON009,,2025-06-03,Equipment,1075995.33,1068508.5,0.0
CST000155,PRJ001,CON006,,2025-06-04,Labour,804839.02,874835.44,0.0
CST000156,PRJ001,CON016,,2025-06-05,Subcontract,1187003.74,1247031.83,0.0
CST000157,PRJ001,CON011,,2025-06-06,Subcontract,747577.57,793534.61,0.0
CST000158,PRJ001,CON011,,2025-06-07,Equipment,1068449.22,1028621.13,0.0
CST000159,PRJ001,CON016,,2025-06-08,Subcontract,1142770.72,1372886.98,0.0
CST000160,PRJ001,CON010,,2025-06-09,Site Overhead,1075850.9,1178215.37,0.0
CST000161,PRJ001,CON017,MAT007,2025-06-10,Material,950682.33,1158855.64,123.44
CST000162,PRJ001,CON020,,2025-06-11,Labour,985966.22,961914.34,0.0
CST000163,PRJ001,CON008,MAT006,2025-06-12,Material,819624.89,721601.56,56.86
CST000164,PRJ001,CON001,,2025-06-13,Equipment,778236.98,675227.4,0.0
CST000165,PRJ001,CON002,,2025-06-14,Labour,705994.26,619408.59,0.0
CST000166,PRJ001,CON020,MAT012,2025-06-15,Material,917501.7,826316.01,66.07
CST000167,PRJ001,CON015,,2025-06-16,Site Overhead,665061.84,608489.05,0.0
CST000168,PRJ001,CON004,MAT004,2025-06-17,Material,1004004.86,1087052.82,24.54
CST000169,PRJ001,CON016,,2025-06-18,Labour,1099878.13,987569.91,0.0
CST000170,PRJ001,CON007,,2025-06-19,Equipment,968478.13,1042107.2,0.0
CST000171,PRJ001,CON017,,2025-06-20,Equipment,988922.65,1161724.48,0.0
CST000172,PRJ001,CON019,MAT007,2025-06-21,Material,745795.46,845324.2,123.74
CST000173,PRJ001,CON019,MAT004,2025-06-22,Material,977116.44,870462.28,119.57
CST000174,PRJ001,CON009,,2025-06-23,Subcontract,1208868.24,1242773.7,0.0
CST000175,PRJ001,CON013,,2025-06-24,Labour,812944.06,842512.69,0.0
CST000176,PRJ001,CON002,,2025-06-25,Subcontract,921318.46,930348.87,0.0
CST000177,PRJ001,CON001,MAT012,2025-06-26,Material,881627.4,867978.66,85.43
CST000178,PRJ001,CON001,,2025-06-27,Equipment,841102.02,896476.01,0.0
CST000179,PRJ001,CON012,MAT011,2025-06-28,Material,1126704.05,1114213.2,66.68
CST000180,PRJ001,CON009,,2025-06-29,Subcontract,954643.36,1141943.34,0.0
CST000181,PRJ001,CON010,MAT011,2025-06-30,Material,706907.14,745362.71,11.65
CST000182,PRJ001,CON015,,2025-07-01,Labour,867818.77,834836.61,0.0
CST000183,PRJ001,CON005,MAT001,2025-07-02,Material,795393.72,906390.68,105.17
CST000184,PRJ001,CON003,,2025-07-03,Labour,1169988.11,1394387.57,0.0
CST000185,PRJ001,CON009,MAT009,2025-07-04,Material,916125.95,826493.07,136.91
CST000186,PRJ001,CON007,,2025-07-05,Labour,665359.2,759225.07,0.0
CST000187,PRJ001,CON005,MAT008,2025-07-06,Material,660545.16,744368.01,30.12
CST000188,PRJ001,CON018,MAT011,2025-07-07,Material,760794.55,814688.45,124.77
CST000189,PRJ001,CON009,,2025-07-08,Labour,889030.47,1035581.13,0.0
CST000190,PRJ001,CON012,,2025-07-09,Labour,882587.99,1036489.01,0.0
CST000191,PRJ001,CON001,MAT010,2025-07-10,Material,1115793.0,1021093.92,31.56
CST000192,PRJ001,CON006,,2025-07-11,Labour,871225.44,946596.25,0.0
CST000193,PRJ001,CON005,,2025-07-12,Subcontract,872687.44,1055479.94,0.0
CST000194,PRJ001,CON010,MAT008,2025-07-13,Material,702394.53,749866.15,32.17
CST000195,PRJ001,CON015,,2025-07-14,Labour,886927.66,876490.32,0.0
CST000196,PRJ001,CON005,MAT003,2025-07-15,Material,784259.85,919787.79,26.81
CST000197,PRJ001,CON007,,2025-07-16,Subcontract,646851.62,576740.06,0.0
CST000198,PRJ001,CON010,,2025-07-17,Labour,1100033.12,1138562.03,0.0
CST000199,PRJ001,CON019,,2025-07-18,Subcontract,650960.85,787159.93,0.0
CST000200,PRJ001,CON016,,2025-07-19,Equipment,1173362.73,1207752.8,0.0
CST000201,PRJ001,CON006,,2025-07-20,Labour,895016.6,1032384.27,0.0
CST000202,PRJ001,CON010,MAT011,2025-07-21,Material,738080.78,696007.91,118.51
CST000203,PRJ001,CON009,MAT008,2025-07-22,Material,1061065.2,1115787.6,29.96
CST000204,PRJ001,CON011,,2025-07-23,Labour,734431.54,814759.87,0.0
CST000205,PRJ001,CON019,,2025-07-24,Subcontract,694292.51,800133.56,0.0
CST000206,PRJ001,CON016,,2025-07-25,Subcontract,948287.34,935640.15,0.0
CST000207,PRJ001,CON005,,2025-07-26,Equipment,884370.8,831194.53,0.0
CST000208,PRJ001,CON015,MAT005,2025-07-27,Material,1146582.29,1155777.19,83.33
CST000209,PRJ001,CON006,,2025-07-28,Site Overhead,734938.58,634988.3,0.0
CST000210,PRJ001,CON020,,2025-07-29,Subcontract,1182297.13,1307109.28,0.0
CST000211,PRJ001,CON012,MAT005,2025-07-30,Material,1138907.63,1021496.87,133.96
CST000212,PRJ001,CON012,MAT011,2025-07-31,Material,651140.98,570654.95,10.0
CST000213,PRJ001,CON001,MAT012,2025-08-01,Material,584103.93,669115.53,115.92
CST000214,PRJ001,CON010,,2025-08-02,Site Overhead,910083.53,1041106.48,0.0
CST000215,PRJ001,CON011,MAT004,2025-08-03,Material,894199.41,1056281.83,151.98
CST000216,PRJ001,CON005,,2025-08-04,Labour,995801.71,1183209.77,0.0
CST000217,PRJ001,CON003,MAT011,2025-08-05,Material,1091925.79,1070748.67,78.18
CST000218,PRJ001,CON019,,2025-08-06,Labour,629738.1,716574.34,0.0
CST000219,PRJ001,CON008,MAT008,2025-08-07,Material,1198619.62,1277493.1,54.74
CST000220,PRJ001,CON018,,2025-08-08,Site Overhead,798751.15,805963.01,0.0
CST000221,PRJ001,CON004,MAT003,2025-08-09,Material,583375.91,596855.66,14.61
CST000222,PRJ001,CON015,MAT009,2025-08-10,Material,862816.19,905654.62,85.29
CST000223,PRJ001,CON016,,2025-08-11,Subcontract,1109220.32,1038756.84,0.0
CST000224,PRJ001,CON017,MAT012,2025-08-12,Material,923950.68,958580.35,150.99
CST000225,PRJ001,CON012,,2025-08-13,Equipment,1205684.51,1221763.03,0.0
CST000226,PRJ001,CON004,,2025-08-14,Subcontract,1029083.01,938757.6,0.0
CST000227,PRJ001,CON012,MAT001,2025-08-15,Material,1073173.17,983094.55,118.38
CST000228,PRJ001,CON007,,2025-08-16,Labour,1050240.67,947107.51,0.0
CST000229,PRJ001,CON011,MAT006,2025-08-17,Material,1083024.28,953006.88,57.6
CST000230,PRJ001,CON016,,2025-08-18,Equipment,901494.27,1058403.11,0.0
CST000231,PRJ001,CON001,,2025-08-19,Labour,1085810.67,1007196.71,0.0
CST000232,PRJ001,CON020,,2025-08-20,Labour,930363.71,856386.82,0.0
CST000233,PRJ001,CON003,MAT012,2025-08-21,Material,621313.72,536119.97,35.04
CST000234,PRJ001,CON001,,2025-08-22,Equipment,867741.63,760500.21,0.0
CST000235,PRJ001,CON019,,2025-08-23,Equipment,748955.82,762384.79,0.0
CST000236,PRJ001,CON012,MAT007,2025-08-24,Material,953408.57,1155856.7,137.9
CST000237,PRJ001,CON009,,2025-08-25,Equipment,1203689.68,1273828.31,0.0
CST000238,PRJ001,CON014,,2025-08-26,Equipment,1056911.53,918239.1,0.0
CST000239,PRJ001,CON018,,2025-08-27,Labour,726006.57,695324.09,0.0
CST000240,PRJ001,CON019,,2025-08-28,Equipment,672988.42,682065.56,0.0
CST000241,PRJ001,CON014,,2025-08-29,Labour,1104075.28,1314298.84,0.0
CST000242,PRJ001,CON013,MAT002,2025-08-30,Material,995594.88,1167349.81,152.69
CST000243,PRJ001,CON008,,2025-08-31,Labour,1017077.14,925004.68,0.0
CST000244,PRJ001,CON007,,2025-09-01,Subcontract,1056968.11,1025012.15,0.0
CST000245,PRJ001,CON010,,2025-09-02,Equipment,1170031.33,1154560.92,0.0
CST000246,PRJ001,CON014,,2025-09-03,Equipment,705126.43,835768.35,0.0
CST000247,PRJ001,CON014,,2025-09-04,Labour,1047544.83,1173942.39,0.0
CST000248,PRJ001,CON018,,2025-09-05,Equipment,799565.14,900572.68,0.0
CST000249,PRJ001,CON011,MAT010,2025-09-06,Material,1140502.17,1235676.93,37.23
CST000250,PRJ001,CON010,,2025-09-07,Subcontract,668420.03,769893.18,0.0
CST000251,PRJ001,CON001,MAT007,2025-09-08,Material,1071553.36,1004379.93,155.75
CST000252,PRJ001,CON008,,2025-09-09,Site Overhead,1170304.6,1343705.85,0.0
CST000253,PRJ001,CON003,,2025-09-10,Labour,1056463.16,1256103.09,0.0
CST000254,PRJ001,CON004,,2025-09-11,Labour,872367.37,798849.33,0.0
CST000255,PRJ001,CON010,,2025-09-12,Equipment,594675.78,649061.13,0.0
CST000256,PRJ001,CON003,,2025-09-13,Equipment,868713.55,1027118.96,0.0
CST000257,PRJ001,CON003,,2025-09-14,Labour,894345.04,940754.77,0.0
CST000258,PRJ001,CON001,,2025-09-15,Labour,1186806.48,1129058.62,0.0
CST000259,PRJ001,CON006,,2025-09-16,Subcontract,1162442.44,1224063.87,0.0
CST000260,PRJ001,CON020,,2025-09-17,Labour,806193.9,758320.76,0.0
CST000261,PRJ001,CON011,,2025-09-18,Equipment,829426.11,873758.59,0.0
CST000262,PRJ001,CON003,,2025-09-19,Equipment,737574.91,686349.18,0.0
CST000263,PRJ001,CON017,,2025-09-20,Labour,677581.3,585734.09,0.0
CST000264,PRJ001,CON013,MAT011,2025-09-21,Material,843134.31,885670.85,87.31
CST000265,PRJ001,CON009,,2025-09-22,Labour,1101801.8,1336571.83,0.0
CST000266,PRJ001,CON015,MAT007,2025-09-23,Material,704250.46,686981.17,127.73
CST000267,PRJ001,CON019,,2025-09-24,Labour,653420.08,690460.72,0.0
CST000268,PRJ001,CON012,MAT007,2025-09-25,Material,1035813.52,981144.53,30.49
CST000269,PRJ001,CON010,,2025-09-26,Site Overhead,726153.99,629017.92,0.0
CST000270,PRJ001,CON012,,2025-09-27,Labour,977690.68,921489.9,0.0
CST000271,PRJ001,CON004,MAT007,2025-09-28,Material,668743.19,656485.33,71.47
CST000272,PRJ001,CON010,,2025-09-29,Labour,1095434.62,1229699.27,0.0
CST000273,PRJ001,CON004,,2025-09-30,Labour,599190.02,564198.43,0.0
CST000274,PRJ001,CON008,MAT010,2025-10-01,Material,1080455.92,959603.91,155.58
CST000275,PRJ001,CON004,,2025-10-02,Labour,599726.5,545608.07,0.0
CST000276,PRJ001,CON011,,2025-10-03,Labour,620615.17,560128.86,0.0
CST000277,PRJ001,CON012,,2025-10-04,Equipment,595180.11,719611.68,0.0
CST000278,PRJ001,CON006,MAT005,2025-10-05,Material,908177.49,918353.46,78.6
CST000279,PRJ001,CON020,MAT006,2025-10-06,Material,600176.19,661303.05,54.91
CST000280,PRJ001,CON013,,2025-10-07,Equipment,1173889.45,1209470.63,0.0
CST000281,PRJ001,CON011,,2025-10-08,Subcontract,861765.98,889291.69,0.0
CST000282,PRJ001,CON013,,2025-10-09,Labour,719497.86,750824.41,0.0
CST000283,PRJ001,CON009,,2025-10-10,Labour,731617.04,838161.24,0.0
CST000284,PRJ001,CON010,,2025-10-11,Labour,621163.6,739821.71,0.0
CST000285,PRJ001,CON003,,2025-10-12,Site Overhead,985557.94,913198.51,0.0
CST000286,PRJ001,CON015,MAT005,2025-10-13,Material,920250.18,1049707.63,126.7
CST000287,PRJ001,CON008,,2025-10-14,Subcontract,852485.45,861227.41,0.0
CST000288,PRJ001,CON012,MAT009,2025-10-15,Material,870438.36,1040042.44,143.59
CST000289,PRJ001,CON007,MAT003,2025-10-16,Material,596306.44,695109.54,50.73
CST000290,PRJ001,CON007,,2025-10-17,Labour,792943.54,753426.76,0.0
CST000291,PRJ001,CON015,,2025-10-18,Site Overhead,1095816.31,1068639.41,0.0
CST000292,PRJ001,CON005,MAT002,2025-10-19,Material,657582.26,790876.55,148.22
CST000293,PRJ001,CON013,,2025-10-20,Subcontract,1029806.64,1172576.68,0.0
CST000294,PRJ001,CON003,MAT005,2025-10-21,Material,697055.85,786759.71,64.12
CST000295,PRJ001,CON010,,2025-10-22,Subcontract,1134538.37,1039358.99,0.0
CST000296,PRJ001,CON017,,2025-10-23,Labour,840855.88,759102.16,0.0
CST000297,PRJ001,CON014,,2025-10-24,Equipment,1035942.63,1066270.59,0.0
CST000298,PRJ001,CON014,,2025-10-25,Subcontract,963420.31,1173157.14,0.0
CST000299,PRJ001,CON017,,2025-10-26,Equipment,660444.25,765940.98,0.0
CST000300,PRJ001,CON009,MAT003,2025-10-27,Material,791046.85,711181.15,76.73
CST000301,PRJ001,CON001,,2025-10-28,Labour,1087501.17,1190615.04,0.0
CST000302,PRJ001,CON019,,2025-10-29,Subcontract,835569.19,955084.17,0.0
CST000303,PRJ001,CON006,MAT007,2025-10-30,Material,1166000.8,1049857.14,156.14
CST000304,PRJ001,CON004,,2025-10-31,Subcontract,631803.11,754609.78,0.0
CST000305,PRJ001,CON013,,2025-11-01,Labour,1096163.31,1146237.65,0.0
CST000306,PRJ001,CON009,,2025-11-02,Labour,1084337.27,1240266.87,0.0
CST000307,PRJ001,CON010,,2025-11-03,Equipment,608233.74,592734.95,0.0
CST000308,PRJ001,CON013,,2025-11-04,Equipment,727816.94,743936.7,0.0
CST000309,PRJ001,CON019,,2025-11-05,Subcontract,933377.05,996490.03,0.0
CST000310,PRJ001,CON020,,2025-11-06,Subcontract,1124917.83,1003186.9,0.0
CST000311,PRJ001,CON010,,2025-11-07,Labour,635277.16,613209.14,0.0
CST000312,PRJ001,CON016,MAT012,2025-11-08,Material,848588.72,858802.59,146.43
CST000313,PRJ001,CON013,,2025-11-09,Labour,705361.39,632637.33,0.0
CST000314,PRJ001,CON020,,2025-11-10,Labour,1058101.61,1031009.07,0.0
CST000315,PRJ001,CON018,MAT011,2025-11-11,Material,733859.97,871867.46,150.11
CST000316,PRJ001,CON008,,2025-11-12,Labour,1088336.71,941944.69,0.0
CST000317,PRJ001,CON011,,2025-11-13,Equipment,1109773.43,1290451.65,0.0
CST000318,PRJ001,CON018,MAT004,2025-11-14,Material,729802.05,628016.84,55.17
CST000319,PRJ001,CON002,,2025-11-15,Labour,657390.28,725086.48,0.0
CST000320,PRJ001,CON004,MAT002,2025-11-16,Material,1025311.58,987166.28,24.6
