usage_id,project_id,equipment_id,usage_date,operating_hours,idle_hours,available_hours,fuel_consumed_litres,maintenance_cost_myr
USE000185,PRJ002,EQP002,2025-04-05,3.77,4.23,8.0,25.66,0.0
USE000186,PRJ002,EQP002,2025-04-08,4.3,3.7,8.0,70.27,0.0
USE000187,PRJ002,EQP002,2025-04-11,5.95,4.05,10.0,122.18,1333.22
USE000188,PRJ002,EQP002,2025-04-15,9.43,0.57,10.0,127.18,0.0
USE000189,PRJ002,EQP002,2025-04-16,8.18,1.82,10.0,131.81,3455.51
USE000190,PRJ002,EQP002,2025-04-17,9.82,2.18,12.0,106.86,0.0
USE000191,PRJ002,EQP002,2025-04-19,7.17,16.83,24.0,45.44,3420.62
USE000192,PRJ002,EQP002,2025-04-24,1.68,10.32,12.0,23.27,0.0
USE000193,PRJ002,EQP002,2025-04-27,8.15,1.85,10.0,104.25,1483.33
USE000194,PRJ002,EQP002,2025-04-30,4.33,7.67,12.0,53.09,975.88
USE000195,PRJ002,EQP002,2025-05-01,9.65,0.35,10.0,117.01,0.0
USE000196,PRJ002,EQP002,2025-05-03,8.86,1.14,10.0,138.35,0.0
USE000197,PRJ002,EQP002,2025-05-04,3.12,6.88,10.0,22.84,0.0
USE000198,PRJ002,EQP002,2025-05-05,4.4,11.6,16.0,74.53,0.0
USE000199,PRJ002,EQP002,2025-05-08,7.74,4.26,12.0,163.16,0.0
USE000200,PRJ002,EQP002,2025-05-12,6.74,9.26,16.0,126.62,0.0
USE000201,PRJ002,EQP002,2025-05-14,8.83,1.17,10.0,103.69,0.0
USE000202,PRJ002,EQP002,2025-05-17,10.16,1.84,12.0,85.26,0.0
USE000203,PRJ002,EQP002,2025-05-23,2.09,5.91,8.0,36.95,0.0
USE000204,PRJ002,EQP002,2025-05-25,23.02,0.98,24.0,504.29,0.0
USE000205,PRJ002,EQP002,2025-05-26,5.91,2.09,8.0,127.17,0.0
USE000206,PRJ002,EQP002,2025-05-27,6.03,3.97,10.0,46.91,0.0
USE000207,PRJ002,EQP002,2025-05-28,9.68,0.32,10.0,89.08,0.0
USE000208,PRJ002,EQP002,2025-06-02,6.54,5.46,12.0,99.79,0.0
USE000209,PRJ002,EQP002,2025-06-03,7.03,0.97,8.0,68.0,0.0
USE000210,PRJ002,EQP002,2025-06-06,7.23,0.77,8.0,152.65,346.66
USE000211,PRJ002,EQP002,2025-06-07,7.96,4.04,12.0,158.92,0.0
USE000212,PRJ002,EQP002,2025-06-12,9.48,6.52,16.0,102.92,1909.37
USE000213,PRJ002,EQP002,2025-06-19,2.83,7.17,10.0,54.78,0.0
USE000214,PRJ002,EQP002,2025-06-20,9.23,0.77,10.0,188.5,0.0
USE000215,PRJ002,EQP002,2025-06-21,4.24,11.76,16.0,52.75,0.0
USE000216,PRJ002,EQP002,2025-06-23,2.37,5.63,8.0,34.99,1716.85
USE000217,PRJ002,EQP002,2025-06-26,14.47,1.53,16.0,316.29,0.0
USE000218,PRJ002,EQP002,2025-06-28,10.65,1.35,12.0,96.79,1758.12
USE000219,PRJ002,EQP002,2025-07-08,2.32,5.68,8.0,39.44,0.0
USE000220,PRJ002,EQP002,2025-07-09,5.37,2.63,8.0,33.08,0.0
USE000221,PRJ002,EQP002,2025-07-12,8.14,1.86,10.0,84.21,521.09
USE000222,PRJ002,EQP002,2025-07-14,3.88,12.12,16.0,42.41,0.0
USE000223,PRJ002,EQP002,2025-07-15,15.82,0.18,16.0,118.54,0.0
USE000224,PRJ002,EQP002,2025-07-17,3.04,8.96,12.0,43.23,0.0
USE000225,PRJ002,EQP002,2025-07-20,5.25,10.75,16.0,34.81,3470.12
USE000226,PRJ002,EQP002,2025-07-21,2.63,5.37,8.0,24.4,0.0
USE000227,PRJ002,EQP002,2025-07-25,1.69,8.31,10.0,31.41,0.0
USE000228,PRJ002,EQP002,2025-07-30,10.88,5.12,16.0,143.29,0.0
USE000229,PRJ002,EQP002,2025-08-03,5.25,2.75,8.0,38.78,0.0
USE000230,PRJ002,EQP002,2025-08-06,14.44,1.56,16.0,186.48,0.0
USE000231,PRJ002,EQP002,2025-08-08,3.15,4.85,8.0,46.74,0.0
USE000232,PRJ002,EQP002,2025-08-13,7.0,3.0,10.0,102.44,0.0
USE000233,PRJ002,EQP002,2025-08-16,7.76,4.24,12.0,66.43,2321.12
USE000234,PRJ002,EQP002,2025-08-18,7.6,4.4,12.0,120.48,0.0
USE000235,PRJ002,EQP002,2025-08-21,3.49,12.51,16.0,52.41,0.0
USE000236,PRJ002,EQP002,2025-08-23,7.79,0.21,8.0,155.86,0.0
USE000237,PRJ002,EQP002,2025-08-24,3.98,12.02,16.0,67.25,0.0
USE000238,PRJ002,EQP002,2025-08-27,9.23,6.77,16.0,166.37,0.0
USE000239,PRJ002,EQP002,2025-08-28,7.23,8.77,16.0,101.04,0.0
USE000240,PRJ002,EQP002,2025-09-01,3.47,4.53,8.0,36.52,0.0
USE000241,PRJ002,EQP002,2025-09-05,9.65,0.35,10.0,185.29,0.0
USE000242,PRJ002,EQP002,2025-09-08,8.63,1.37,10.0,181.98,0.0
USE000243,PRJ002,EQP002,2025-09-10,9.64,2.36,12.0,180.85,0.0
USE000244,PRJ002,EQP002,2025-09-11,6.44,1.56,8.0,74.91,0.0
USE000245,PRJ002,EQP002,2025-09-12,5.82,4.18,10.0,53.49,0.0
USE000246,PRJ002,EQP002,2025-09-14,2.49,21.51,24.0,17.99,978.39
USE000247,PRJ002,EQP002,2025-09-17,3.13,6.87,10.0,23.77,652.22
USE000248,PRJ002,EQP002,2025-09-18,8.94,3.06,12.0,91.94,0.0
USE000249,PRJ002,EQP002,2025-09-19,18.22,5.78,24.0,339.85,0.0
USE000250,PRJ002,EQP002,2025-09-20,2.09,7.91,10.0,36.94,0.0
USE000251,PRJ002,EQP002,2025-09-22,7.36,4.64,12.0,82.77,0.0
USE000252,PRJ002,EQP002,2025-09-23,2.13,7.87,10.0,25.59,0.0
USE000253,PRJ002,EQP002,2025-09-25,9.0,1.0,10.0,190.63,1655.39
USE000254,PRJ002,EQP002,2025-09-26,9.09,0.91,10.0,50.83,0.0
USE000255,PRJ002,EQP002,2025-09-27,10.29,1.71,12.0,159.84,0.0
USE000256,PRJ002,EQP002,2025-09-28,7.53,4.47,12.0,118.93,0.0
USE000257,PRJ002,EQP002,2025-09-29,3.12,6.88,10.0,52.53,0.0
USE000258,PRJ002,EQP002,2025-10-01,5.08,4.92,10.0,108.92,0.0
USE000259,PRJ002,EQP002,2025-10-04,19.49,4.51,24.0,208.9,2339.5
USE000260,PRJ002,EQP002,2025-10-07,2.53,7.47,10.0,17.25,0.0
USE000261,PRJ002,EQP002,2025-10-09,4.87,7.13,12.0,72.34,2223.9
USE000262,PRJ002,EQP002,2025-10-14,3.38,4.62,8.0,48.31,2963.31
USE000263,PRJ002,EQP002,2025-10-16,10.33,5.67,16.0,137.64,0.0
USE000264,PRJ002,EQP002,2025-10-18,4.51,5.49,10.0,37.0,0.0
USE000265,PRJ002,EQP002,2025-10-22,3.46,4.54,8.0,28.01,0.0
USE000266,PRJ002,EQP002,2025-10-23,5.8,4.2,10.0,102.59,0.0
USE000267,PRJ002,EQP002,2025-10-24,10.76,1.24,12.0,173.46,0.0
USE000268,PRJ002,EQP002,2025-10-25,4.48,5.52,10.0,52.0,3304.42
USE000269,PRJ002,EQP002,2025-10-26,5.69,4.31,10.0,36.78,0.0
USE000270,PRJ002,EQP002,2025-10-27,6.95,1.05,8.0,66.62,0.0
USE000271,PRJ002,EQP002,2025-10-28,4.49,5.51,10.0,61.37,0.0
USE000272,PRJ002,EQP002,2025-10-30,5.67,4.33,10.0,85.82,0.0
USE000273,PRJ002,EQP002,2025-11-03,4.64,3.36,8.0,96.0,0.0
USE000274,PRJ002,EQP002,2025-11-04,8.06,1.94,10.0,94.17,1715.27
USE000275,PRJ002,EQP002,2025-11-06,1.67,6.33,8.0,29.05,0.0
USE000276,PRJ002,EQP002,2025-11-08,4.06,11.94,16.0,37.17,0.0
USE000277,PRJ002,EQP002,2025-11-11,2.55,7.45,10.0,19.75,0.0
USE000278,PRJ002,EQP002,2025-11-13,3.73,8.27,12.0,35.81,0.0
USE000279,PRJ002,EQP002,2025-11-16,17.07,6.93,24.0,117.55,0.0
USE000280,PRJ002,EQP002,2025-11-20,3.02,4.98,8.0,63.41,0.0
USE000281,PRJ002,EQP002,2025-11-21,12.28,3.72,16.0,165.14,1015.53
USE000282,PRJ002,EQP002,2025-11-27,13.59,2.41,16.0,189.37,309.5
USE000283,PRJ002,EQP002,2025-12-01,2.67,5.33,8.0,36.41,0.0
USE000284,PRJ002,EQP002,2025-12-03,7.81,4.19,12.0,138.35,2293.7
USE000285,PRJ002,EQP002,2025-12-05,6.0,10.0,16.0,124.62,0.0
USE000286,PRJ002,EQP002,2025-12-06,6.76,5.24,12.0,82.67,0.0
USE000287,PRJ002,EQP002,2025-12-09,5.2,6.8,12.0,68.13,0.0
USE000288,PRJ002,EQP002,2025-12-12,10.44,1.56,12.0,76.53,0.0
USE000289,PRJ002,EQP002,2025-12-13,12.83,3.17,16.0,246.13,0.0
USE000290,PRJ002,EQP002,2025-12-14,4.7,5.3,10.0,67.53,0.0
USE000291,PRJ002,EQP002,2025-12-15,6.22,9.78,16.0,103.01,0.0
USE000292,PRJ002,EQP002,2025-12-16,3.35,4.65,8.0,46.76,2578.44
USE000293,PRJ002,EQP002,2025-12-18,1.9,6.1,8.0,32.53,0.0
USE000294,PRJ002,EQP002,2025-12-19,3.83,8.17,12.0,68.26,0.0
USE000295,PRJ002,EQP002,2025-12-22,7.72,2.28,10.0,160.92,0.0
USE000296,PRJ002,EQP002,2025-12-24,6.7,3.3,10.0,96.98,1937.36
USE000297,PRJ002,EQP002,2025-12-25,11.64,0.36,12.0,83.26,0.0
USE000298,PRJ002,EQP002,2025-12-27,4.12,3.88,8.0,54.31,0.0
USE000299,PRJ002,EQP002,2025-12-28,4.6,11.4,16.0,82.31,0.0
USE000300,PRJ002,EQP002,2025-12-31,4.81,7.19,12.0,100.65,0.0
USE000301,PRJ003,EQP003,2025-01-03,9.72,2.28,12.0,198.32,0.0
USE000302,PRJ003,EQP003,2025-01-07,6.85,1.15,8.0,66.27,387.2
USE000303,PRJ003,EQP003,2025-01-10,3.88,8.12,12.0,24.67,0.0
USE000304,PRJ003,EQP003,2025-01-11,15.55,0.45,16.0,272.97,0.0
USE000305,PRJ003,EQP003,2025-01-13,1.83,10.17,12.0,28.47,0.0
USE000306,PRJ003,EQP003,2025-01-16,7.91,0.09,8.0,67.46,0.0
USE000307,PRJ003,EQP003,2025-01-17,6.1,3.9,10.0,124.46,0.0
USE000308,PRJ003,EQP003,2025-01-19,5.33,2.67,8.0,81.22,0.0
USE000309,PRJ003,EQP003,2025-01-21,2.98,13.02,16.0,60.99,0.0
USE000310,PRJ003,EQP003,2025-01-24,7.84,2.16,10.0,121.88,0.0
USE000311,PRJ003,EQP003,2025-01-25,5.35,2.65,8.0,79.2,0.0
USE000312,PRJ003,EQP003,2025-01-30,3.37,4.63,8.0,38.12,2437.93
USE000313,PRJ003,EQP003,2025-02-03,6.07,1.93,8.0,73.06,0.0
USE000314,PRJ003,EQP003,2025-02-05,5.29,4.71,10.0,38.8,0.0
USE000315,PRJ003,EQP003,2025-02-08,9.84,0.16,10.0,168.5,0.0
USE000316,PRJ003,EQP003,2025-02-10,4.82,3.18,8.0,51.82,0.0
USE000317,PRJ003,EQP003,2025-02-14,8.72,1.28,10.0,130.22,1478.32
USE000318,PRJ003,EQP003,2025-02-17,6.66,1.34,8.0,133.36,0.0
USE000319,PRJ003,EQP003,2025-02-19,3.94,6.06,10.0,50.24,0.0
USE000320,PRJ003,EQP003,2025-02-23,7.41,2.59,10.0,76.18,0.0
USE000321,PRJ003,EQP003,2025-02-24,7.25,2.75,10.0,157.51,0.0
