report_id,project_id,report_date,planned_progress_pct,actual_progress_pct,work_completed_qty,workers_on_site,weather,delay_hours
DPR000171,PRJ001,2025-06-20,54.56,54.06,87.44,217,Cloudy,0.15
DPR000172,PRJ001,2025-06-21,54.75,55.5,210.82,79,Light Rain,0.0
DPR000173,PRJ001,2025-06-22,54.94,55.73,362.75,88,Cloudy,0.0
DPR000174,PRJ001,2025-06-23,55.13,55.61,462.48,160,Cloudy,0.35
DPR000175,PRJ001,2025-06-24,55.32,56.5,191.66,100,Cloudy,1.2
DPR000176,PRJ001,2025-06-25,55.51,55.61,218.51,153,Light Rain,0.48
DPR000177,PRJ001,2025-06-26,55.7,55.8,205.34,147,Light Rain,0.61
DPR000178,PRJ001,2025-06-27,55.89,56.16,184.9,216,Cloudy,0.54
DPR000179,PRJ001,2025-06-28,56.08,56.17,45.88,119,Cloudy,0.0
DPR000180,PRJ001,2025-06-29,56.27,57.05,59.57,75,Clear,0.0
DPR000181,PRJ001,2025-06-30,56.46,56.89,211.41,112,Clear,0.0
DPR000182,PRJ001,2025-07-01,56.65,56.51,367.0,209,Light Rain,0.0
DPR000183,PRJ001,2025-07-02,56.84,57.33,381.78,182,Clear,0.41
DPR000184,PRJ001,2025-07-03,57.02,56.99,350.96,80,Cloudy,0.0
DPR000185,PRJ001,2025-07-04,57.21,57.65,246.88,57,Cloudy,1.07
DPR000186,PRJ001,2025-07-05,57.4,57.7,396.23,118,Clear,0.76
DPR000187,PRJ001,2025-07-06,57.59,57.91,467.69,66,Light Rain,0.0
DPR000188,PRJ001,2025-07-07,57.78,58.35,129.24,202,Clear,0.0
DPR000189,PRJ001,2025-07-08,57.97,58.1,475.47,51,Clear,0.0
DPR000190,PRJ001,2025-07-09,58.16,58.34,379.62,48,Cloudy,0.18
DPR000191,PRJ001,2025-07-10,58.35,58.7,267.35,208,Clear,0.98
DPR000192,PRJ001,2025-07-11,58.54,58.43,110.52,166,Light Rain,0.34
DPR000193,PRJ001,2025-07-12,58.73,58.96,144.63,182,Clear,0.79
DPR000194,PRJ001,2025-07-13,58.92,59.02,69.6,190,Light Rain,0.0
DPR000195,PRJ001,2025-07-14,59.11,59.79,341.56,155,Clear,0.0
DPR000196,PRJ001,2025-07-15,59.3,60.05,281.66,203,Cloudy,2.06
DPR000197,PRJ001,2025-07-16,59.49,59.5,95.11,95,Cloudy,0.0
DPR000198,PRJ001,2025-07-17,59.68,59.68,233.84,163,Clear,0.0
DPR000199,PRJ001,2025-07-18,59.87,60.53,231.23,189,Clear,0.0
DPR000200,PRJ001,2025-07-19,60.06,60.27,373.39,172,Cloudy,1.61
DPR000201,PRJ001,2025-07-20,60.25,61.01,447.95,207,Cloudy,0.0
DPR000202,PRJ001,2025-07-21,60.43,61.32,66.97,125,Cloudy,0.0
DPR000203,PRJ001,2025-07-22,60.62,60.66,254.61,138,Heavy Rain,0.0
DPR000204,PRJ001,2025-07-23,60.81,61.3,131.53,121,Clear,0.24
DPR000205,PRJ001,2025-07-24,61.0,61.48,377.31,134,Clear,0.0
DPR000206,PRJ001,2025-07-25,61.19,61.52,453.78,170,Clear,0.22
DPR000207,PRJ001,2025-07-26,61.38,61.92,320.49,91,Light Rain,0.0
DPR000208,PRJ001,2025-07-27,61.57,62.12,257.59,111,Light Rain,1.02
DPR000209,PRJ001,2025-07-28,61.76,61.46,134.66,169,Clear,0.39
DPR000210,PRJ001,2025-07-29,61.95,62.17,477.12,88,Heavy Rain,0.64
DPR000211,PRJ001,2025-07-30,62.14,62.44,417.69,109,Clear,0.77
DPR000212,PRJ001,2025-07-31,62.33,62.41,169.92,207,Clear,1.5
DPR000213,PRJ001,2025-08-01,62.52,62.6,438.22,142,Clear,0.0
DPR000214,PRJ001,2025-08-02,62.71,63.24,284.55,182,Cloudy,0.43
DPR000215,PRJ001,2025-08-03,62.9,63.2,368.38,184,Clear,0.26
DPR000216,PRJ001,2025-08-04,63.09,63.79,413.48,96,Clear,0.0
DPR000217,PRJ001,2025-08-05,63.28,63.68,281.52,67,Clear,0.0
DPR000218,PRJ001,2025-08-06,63.47,63.94,157.39,38,Clear,0.63
DPR000219,PRJ001,2025-08-07,63.66,63.81,44.67,39,Clear,0.0
DPR000220,PRJ001,2025-08-08,63.84,64.47,232.07,192,Clear,1.07
DPR000221,PRJ001,2025-08-09,64.03,64.53,39.9,136,Light Rain,0.0
DPR000222,PRJ001,2025-08-10,64.22,64.71,125.24,68,Cloudy,0.0
DPR000223,PRJ001,2025-08-11,64.41,64.4,459.15,196,Clear,1.7
DPR000224,PRJ001,2025-08-12,64.6,65.5,134.87,126,Clear,1.39
DPR000225,PRJ001,2025-08-13,64.79,65.04,43.2,95,Cloudy,0.0
DPR000226,PRJ001,2025-08-14,64.98,65.46,395.68,116,Cloudy,1.07
DPR000227,PRJ001,2025-08-15,65.17,65.3,303.52,163,Clear,0.0
DPR000228,PRJ001,2025-08-16,65.36,65.22,219.2,80,Clear,0.0
DPR000229,PRJ001,2025-08-17,65.55,65.76,124.6,147,Clear,0.75
DPR000230,PRJ001,2025-08-18,65.74,65.74,40.36,206,Light Rain,0.0
DPR000231,PRJ001,2025-08-19,65.93,66.49,466.97,70,Clear,0.0
DPR000232,PRJ001,2025-08-20,66.12,66.95,308.56,136,Clear,1.07
DPR000233,PRJ001,2025-08-21,66.31,66.61,364.2,166,Cloudy,0.0
DPR000234,PRJ001,2025-08-22,66.5,67.31,261.87,48,Clear,0.0
DPR000235,PRJ001,2025-08-23,66.69,66.75,199.2,214,Clear,0.0
DPR000236,PRJ001,2025-08-24,66.88,66.99,361.7,67,Clear,1.53
DPR000237,PRJ001,2025-08-25,67.07,67.47,414.02,180,Cloudy,0.0
DPR000238,PRJ001,2025-08-26,67.25,67.71,343.35,79,Heavy Rain,0.0
DPR000239,PRJ001,2025-08-27,67.44,67.23,335.02,193,Clear,1.85
DPR000240,PRJ001,2025-08-28,67.63,68.07,161.88,97,Clear,0.0
DPR000241,PRJ001,2025-08-29,67.82,68.32,410.02,41,Heavy Rain,0.02
DPR000242,PRJ001,2025-08-30,68.01,68.23,428.87,117,Cloudy,0.03
DPR000243,PRJ001,2025-08-31,68.2,68.54,340.95,59,Clear,0.18
DPR000244,PRJ001,2025-09-01,68.39,68.67,219.39,43,Cloudy,0.0
DPR000245,PRJ001,2025-09-02,68.58,69.04,308.4,91,Cloudy,0.0
DPR000246,PRJ001,2025-09-03,68.77,69.27,145.49,104,Cloudy,0.39
DPR000247,PRJ001,2025-09-04,68.96,69.19,203.14,191,Cloudy,0.02
DPR000248,PRJ001,2025-09-05,69.15,69.65,188.45,133,Clear,0.0
DPR000249,PRJ001,2025-09-06,69.34,69.91,454.37,95,Cloudy,0.32
DPR000250,PRJ001,2025-09-07,69.53,70.1,385.46,39,Cloudy,0.0
DPR000251,PRJ001,2025-09-08,69.72,70.93,53.84,102,Cloudy,0.45
DPR000252,PRJ001,2025-09-09,69.91,69.85,474.5,117,Clear,0.0
DPR000253,PRJ001,2025-09-10,70.1,70.95,179.14,35,Heavy Rain,0.78
DPR000254,PRJ001,2025-09-11,70.29,70.72,455.71,123,Clear,0.23
DPR000255,PRJ001,2025-09-12,70.48,70.68,223.53,36,Cloudy,0.0
DPR000256,PRJ001,2025-09-13,70.66,71.15,259.52,207,Light Rain,0.0
DPR000257,PRJ001,2025-09-14,70.85,71.49,415.69,194,Cloudy,1.3
DPR000258,PRJ001,2025-09-15,71.04,71.31,169.12,107,Clear,0.34
DPR000259,PRJ001,2025-09-16,71.23,71.93,337.62,120,Cloudy,0.49
DPR000260,PRJ001,2025-09-17,71.42,72.19,190.24,68,Cloudy,0.0
DPR000261,PRJ001,2025-09-18,71.61,71.58,414.42,45,Clear,0.33
DPR000262,PRJ001,2025-09-19,71.8,71.86,52.35,140,Cloudy,1.18
DPR000263,PRJ001,2025-09-20,71.99,73.44,367.46,98,Light Rain,0.0
DPR000264,PRJ001,2025-09-21,72.18,72.0,351.11,59,Cloudy,0.0
DPR000265,PRJ001,2025-09-22,72.37,73.42,107.47,55,Cloudy,0.11
DPR000266,PRJ001,2025-09-23,72.56,73.35,41.29,131,Light Rain,0.09
DPR000267,PRJ001,2025-09-24,72.75,73.08,83.17,175,Clear,0.3
DPR000268,PRJ001,2025-09-25,72.94,72.94,203.49,79,Clear,0.0
DPR000269,PRJ001,2025-09-26,73.13,73.26,74.93,146,Clear,0.38
DPR000270,PRJ001,2025-09-27,73.32,74.13,448.19,39,Cloudy,0.0
DPR000271,PRJ001,2025-09-28,73.51,73.74,379.4,47,Light Rain,0.36
DPR000272,PRJ001,2025-09-29,73.7,74.44,376.26,176,Light Rain,0.95
DPR000273,PRJ001,2025-09-30,73.89,74.06,76.98,206,Light Rain,0.0
DPR000274,PRJ001,2025-10-01,74.08,71.49,50.21,218,Light Rain,0.39
DPR000275,PRJ001,2025-10-02,74.26,72.42,416.3,99,Clear,1.11
DPR000276,PRJ001,2025-10-03,74.45,72.29,234.46,53,Clear,1.19
DPR000277,PRJ001,2025-10-04,74.64,72.22,426.34,69,Light Rain,1.42
DPR000278,PRJ001,2025-10-05,74.83,72.69,258.62,85,Clear,0.85
DPR000279,PRJ001,2025-10-06,75.02,72.68,102.55,176,Cloudy,1.14
DPR000280,PRJ001,2025-10-07,75.21,73.25,149.24,100,Heavy Rain,0.5
DPR000281,PRJ001,2025-10-08,75.4,73.18,407.97,65,Cloudy,1.48
DPR000282,PRJ001,2025-10-09,75.59,73.37,294.95,61,Clear,0.53
DPR000283,PRJ001,2025-10-10,75.78,74.4,285.92,105,Clear,0.05
DPR000284,PRJ001,2025-10-11,75.97,73.97,65.05,168,Cloudy,0.75
DPR000285,PRJ001,2025-10-12,76.16,74.09,87.81,108,Light Rain,1.28
DPR000286,PRJ001,2025-10-13,76.35,74.14,296.5,208,Cloudy,0.2
DPR000287,PRJ001,2025-10-14,76.54,74.03,81.35,168,Cloudy,1.84
DPR000288,PRJ001,2025-10-15,76.73,74.63,445.45,219,Clear,3.05
DPR000289,PRJ001,2025-10-16,76.92,74.0,456.63,98,Clear,0.0
DPR000290,PRJ001,2025-10-17,77.11,74.68,119.57,93,Light Rain,0.84
DPR000291,PRJ001,2025-10-18,77.3,75.15,64.88,144,Cloudy,2.5
DPR000292,PRJ001,2025-10-19,77.49,75.25,76.84,42,Light Rain,0.0
DPR000293,PRJ001,2025-10-20,77.67,75.36,95.73,192,Clear,1.24
DPR000294,PRJ001,2025-10-21,77.86,75.8,61.98,94,Clear,0.83
DPR000295,PRJ001,2025-10-22,78.05,75.8,122.65,163,Cloudy,0.63
DPR000296,PRJ001,2025-10-23,78.24,75.65,272.59,83,Light Rain,0.87
DPR000297,PRJ001,2025-10-24,78.43,76.33,464.96,90,Light Rain,1.15
DPR000298,PRJ001,2025-10-25,78.62,76.53,225.95,131,Cloudy,1.58
DPR000299,PRJ001,2025-10-26,78.81,76.95,76.29,117,Clear,0.81
DPR000300,PRJ001,2025-10-27,79.0,76.66,356.93,138,Light Rain,0.87
DPR000301,PRJ001,2025-10-28,79.19,76.61,370.78,144,Light Rain,0.99
DPR000302,PRJ001,2025-10-29,79.38,77.13,131.24,190,Light Rain,1.02
DPR000303,PRJ001,2025-10-30,79.57,77.43,118.71,200,Cloudy,0.06
DPR000304,PRJ001,2025-10-31,79.76,77.09,430.17,97,Light Rain,0.08
DPR000305,PRJ001,2025-11-01,79.95,77.54,467.57,65,Cloudy,1.55
DPR000306,PRJ001,2025-11-02,80.14,78.01,52.59,166,Cloudy,0.2
DPR000307,PRJ001,2025-11-03,80.33,78.01,359.63,217,Light Rain,1.34
DPR000308,PRJ001,2025-11-04,80.52,77.38,229.08,210,Clear,1.07
DPR000309,PRJ001,2025-11-05,80.71,78.49,301.18,152,Heavy Rain,0.17
DPR000310,PRJ001,2025-11-06,80.9,78.65,115.41,201,Clear,1.43
DPR000311,PRJ001,2025-11-07,81.08,79.0,375.01,187,Light Rain,1.13
DPR000312,PRJ001,2025-11-08,81.27,78.6,214.46,126,Clear,0.9
DPR000313,PRJ001,2025-11-09,81.46,78.1,127.99,57,Cloudy,0.0
DPR000314,PRJ001,2025-11-10,81.65,79.79,202.65,71,Light Rain,1.02
DPR000315,PRJ001,2025-11-11,81.84,79.71,341.94,73,Clear,1.58
DPR000316,PRJ001,2025-11-12,82.03,79.19,110.79,195,Clear,1.76
DPR000317,PRJ001,2025-11-13,82.22,79.78,357.07,35,Light Rain,0.2
DPR000318,PRJ001,2025-11-14,82.41,79.95,45.57,47,Clear,0.09
DPR000319,PRJ001,2025-11-15,82.6,79.35,278.98,177,Light Rain,2.35
DPR000320,PRJ001,2025-11-16,82.79,80.51,475.15,113,Clear,1.46
DPR000321,PRJ001,2025-11-17,82.98,80.79,247.55,53,Cloudy,1.09
DPR000322,PRJ001,2025-11-18,83.17,80.79,221.27,198,Clear,0.58
DPR000323,PRJ001,2025-11-19,83.36,81.22,180.47,163,Clear,0.0
DPR000324,PRJ001,2025-11-20,83.55,81.45,423.09,91,Cloudy,0.94
DPR000325,PRJ001,2025-11-21,83.74,81.81,412.21,53,Clear,0.77
DPR000326,PRJ001,2025-11-22,83.93,81.48,374.2,78,Heavy Rain,1.47
DPR000327,PRJ001,2025-11-23,84.12,82.21,66.98,192,Light Rain,0.0
DPR000328,PRJ001,2025-11-24,84.31,81.96,299.86,144,Heavy Rain,0.66
